Kod;Nazwa;Rok2017;Rok2018
3001000;Powiat chodzieski;69;69
3002000;Powiat czarnkowsko-trzcianecki;48;48
3003000;Powiat gnieźnieński;116;116
3004000;Powiat gostyński;94;94
3005000;Powiat grodziski;81;81
3006000;Powiat jarociński;122;122
3007000;Powiat kaliski;72;72
3008000;Powiat kępiński;93;93
3009000;Powiat kolski;87;86
3010000;Powiat koniński;82;82
3011000;Powiat kościański;110;110
3012000;Powiat krotoszyński;109;109
3013000;Powiat leszczyński;69;70
3014000;Powiat międzychodzki;50;50
3015000;Powiat nowotomyski;74;74
3016000;Powiat obornicki;84;84
3017000;Powiat ostrowski;139;139
3018000;Powiat ostrzeszowski;72;72
3019000;Powiat pilski;108;108
3020000;Powiat pleszewski;89;89
3021000;Powiat poznański;201;205
3022000;Powiat rawicki;109;109
3023000;Powiat słupecki;71;71
3024000;Powiat szamotulski;81;81
3025000;Powiat średzki;93;94
3026000;Powiat śremski;107;107
3027000;Powiat turecki;91;90
3028000;Powiat wągrowiecki;68;68
3029000;Powiat wolsztyński;84;84
3030000;Powiat wrzesiński;110;110
3031000;Powiat złotowski;42;42
3061000;Powiat m.Kalisz;1464;1455
3062000;Powiat m.Konin;910;903
3063000;Powiat m.Leszno;2015;2007
3064000;Powiat m.Poznań;2057;2048
