Kod;Nazwa;ogolny2017;ogolny2018;pierwotny2017;pierwotny2018;wtorny2017;wtorny2018
3001000;Powiat chodzieski;2806;2602;3346;3738;2412;2566
3002000;Powiat czarnkowsko-trzcianecki;2027;2341;2773;4465;1989;2277
3003000;Powiat gnieźnieński;3201;3329;3833;3828;2853;2968
3004000;Powiat gostyński;3001;2813;3420;3331;2530;2324
3005000;Powiat grodziski;2771;2835;3281;3313;2503;2467
3006000;Powiat jarociński;2636;2854;3132;3187;2389;2470
3007000;Powiat kaliski;1548;2106;0;0;1548;2106
3008000;Powiat kępiński;3315;3279;3395;3586;3255;2768
3009000;Powiat kolski;2380;2663;2869;0;2351;2651
3010000;Powiat koniński;2361;2549;2750;3094;2327;2211
3011000;Powiat kościański;2528;2848;3424;3694;2059;2132
3012000;Powiat krotoszyński;2828;2881;3400;3566;2470;2513
3013000;Powiat leszczyński;2802;2897;3393;3185;2445;2699
3014000;Powiat międzychodzki;2252;2451;2555;2707;2184;2415
3015000;Powiat nowotomyski;2811;2937;0;3192;2809;2742
3016000;Powiat obornicki;3129;3357;3798;3867;2855;2986
3017000;Powiat ostrowski;2690;3064;2984;3465;2688;2692
3018000;Powiat ostrzeszowski;3317;3414;3795;3762;2528;2722
3019000;Powiat pilski;3196;3631;4068;4058;2933;3459
3020000;Powiat pleszewski;2778;2937;0;2913;2770;2939
3021000;Powiat poznański;4091;4245;4213;4213;3811;4318
3022000;Powiat rawicki;2764;2984;3195;3625;2438;2352
3023000;Powiat słupecki;2472;2768;0;0;2472;2758
3024000;Powiat szamotulski;3156;3166;3566;3504;2705;2879
3025000;Powiat średzki;3488;3333;3689;3591;3107;2772
3026000;Powiat śremski;3192;3286;3549;3604;2921;2945
3027000;Powiat turecki;2854;2775;3454;3546;2414;2726
3028000;Powiat wągrowiecki;2760;2789;3383;3374;2414;2403
3029000;Powiat wolsztyński;3126;3460;3754;4027;3089;2980
3030000;Powiat wrzesiński;3634;3427;3747;3490;3087;3284
3031000;Powiat złotowski;2589;2495;3237;3436;2203;2249
3061000;Powiat m.Kalisz;2712;3180;2928;3575;2639;2994
3062000;Powiat m.Konin;3224;3271;4210;4128;2948;3010
3063000;Powiat m.Leszno;3544;3863;4052;4573;3148;3532
3064000;Powiat m.Poznań;5812;6147;6279;6395;5289;5740
